x,y,z,image_path,label
16.517818,45.609386,-56.567234,./assets/diamond_images/web_scraped/round/221152-1.jpg,round
-25.095682,-8.747589,17.982897,./assets/diamond_images/web_scraped/round/220498-18.jpg,round
92.66014,-26.886307,27.737305,./assets/diamond_images/web_scraped/round/220494-110.jpg,round
-0.85894245,12.286351,16.126234,./assets/diamond_images/web_scraped/round/2119001.jpg,round
-21.749365,58.971085,-32.057194,./assets/diamond_images/web_scraped/round/220591-81.jpg,round
-18.730848,-21.342329,-6.004326,./assets/diamond_images/web_scraped/round/2136346.jpg,round
-23.65343,-53.96662,-8.072879,./assets/diamond_images/web_scraped/round/2078326.jpg,round
34.066204,9.268318,27.173258,./assets/diamond_images/web_scraped/round/220548-79.jpg,round
-20.07486,-52.63363,6.3198333,./assets/diamond_images/web_scraped/round/220327-462.jpg,round
6.120255,-8.812904,9.862359,./assets/diamond_images/web_scraped/round/220571-64.jpg,round
-26.132008,-23.006638,20.773489,./assets/diamond_images/web_scraped/round/220645-486.jpg,round
-36.16867,14.926286,-2.726056,./assets/diamond_images/web_scraped/round/2104762.jpg,round
-10.246768,51.59636,-6.1813164,./assets/diamond_images/web_scraped/round/2096086.jpg,round
69.13437,-2.1713767,-22.633541,./assets/diamond_images/web_scraped/round/2095782.jpg,round
9.329087,9.201758,-27.176838,./assets/diamond_images/web_scraped/round/220335-81.jpg,round
-27.068855,19.572691,11.734978,./assets/diamond_images/web_scraped/round/2132423.jpg,round
-19.055244,-19.204533,-12.560089,./assets/diamond_images/web_scraped/round/2073127.jpg,round
58.159042,-24.478628,-3.1585174,./assets/diamond_images/web_scraped/round/220488-165.jpg,round
-25.998787,-8.500944,11.592093,./assets/diamond_images/web_scraped/round/220606-88.jpg,round
-16.45184,13.3382845,-4.905861,./assets/diamond_images/web_scraped/round/2105973.jpg,round
-40.70406,-41.236023,0.9062762,./assets/diamond_images/web_scraped/round/221203-97.jpg,round
-4.660447,18.97126,-13.541193,./assets/diamond_images/web_scraped/round/2097553.jpg,round
-40.43025,-50.799774,-20.47088,./assets/diamond_images/web_scraped/round/220554-42.jpg,round
-21.325134,-59.109066,-14.000283,./assets/diamond_images/web_scraped/round/221222-156.jpg,round
-1.9982371,54.520676,55.631054,./assets/diamond_images/web_scraped/round/2127403.jpg,round
-52.996754,19.299429,19.63038,./assets/diamond_images/web_scraped/round/2082415.jpg,round
