x,y,z,image_path,label
62.89325,-45.12794,-49.016247,diamond_images/web_scraped/emerald/2099861.jpg,emerald
-43.014946,-12.725907,16.095325,diamond_images/web_scraped/emerald/220407-53.jpg,emerald
68.92493,-65.560905,-10.408539,diamond_images/web_scraped/emerald/2135780.jpg,emerald
71.24968,36.07818,11.227158,diamond_images/web_scraped/emerald/2044745.jpg,emerald
67.55151,5.322911,-0.8251706,diamond_images/web_scraped/emerald/2110136.jpg,emerald
-76.61193,8.469329,-23.033297,diamond_images/web_scraped/emerald/2105033.jpg,emerald
4.8037615,-20.779415,40.5636,diamond_images/web_scraped/emerald/2093449.jpg,emerald
-92.772575,36.632595,-26.780165,diamond_images/web_scraped/emerald/2119291.jpg,emerald
-28.416698,0.53057754,16.807764,diamond_images/web_scraped/emerald/2067138.jpg,emerald
-93.06432,1.070131,-67.52509,diamond_images/web_scraped/emerald/2124373.jpg,emerald
-54.94243,26.289984,-16.60406,diamond_images/web_scraped/emerald/2101881.jpg,emerald
-16.397844,-32.230465,23.894745,diamond_images/web_scraped/emerald/2079102.jpg,emerald
-47.803356,-18.178946,-8.390326,diamond_images/web_scraped/emerald/2049625.jpg,emerald
-9.122331,42.224255,33.063076,diamond_images/web_scraped/emerald/2083846.jpg,emerald
73.44245,3.0457046,-68.637505,diamond_images/web_scraped/emerald/2126670.jpg,emerald
-34.898388,-34.63543,-16.190805,diamond_images/web_scraped/emerald/2112806.jpg,emerald
-40.639236,-20.528088,31.513824,diamond_images/web_scraped/emerald/221217-138.jpg,emerald
-53.9232,12.377194,14.92732,diamond_images/web_scraped/emerald/2090497.jpg,emerald
-10.647442,44.702415,11.1970215,diamond_images/web_scraped/emerald/2042453.jpg,emerald
-72.63662,61.967007,9.773034,diamond_images/web_scraped/emerald/2028994.jpg,emerald
-16.016129,30.882986,73.74255,diamond_images/web_scraped/emerald/2031695.jpg,emerald
44.669857,-63.0711,69.57321,diamond_images/web_scraped/emerald/2071869.jpg,emerald
-33.046818,7.3548026,55.812103,diamond_images/web_scraped/emerald/2120180.jpg,emerald
37.661926,-21.293873,43.74919,diamond_images/web_scraped/emerald/2138911.jpg,emerald
-41.329834,-39.4458,30.604269,diamond_images/web_scraped/emerald/2116912.jpg,emerald
-68.58286,-46.047173,5.210988,diamond_images/web_scraped/emerald/2041377.jpg,emerald
-77.29248,21.294481,11.338617,diamond_images/web_scraped/emerald/1988831.jpg,emerald
-67.06061,18.90048,-6.0392585,diamond_images/web_scraped/emerald/2042364.jpg,emerald
-54.875233,-52.206818,17.276857,diamond_images/web_scraped/emerald/227037-15.jpg,emerald
-23.364355,85.06168,-60.46546,diamond_images/web_scraped/emerald/2056425.jpg,emerald
-58.72277,-59.019314,-15.770229,diamond_images/web_scraped/emerald/2077932.jpg,emerald
-32.768543,-12.656658,-8.158203,diamond_images/web_scraped/emerald/2012966.jpg,emerald
-1.7117167,-24.255852,7.6536655,diamond_images/web_scraped/emerald/2073695.jpg,emerald
-80.9114,1.1575016,-12.371197,diamond_images/web_scraped/emerald/2079638.jpg,emerald
174.93956,-13.461213,17.912806,diamond_images/web_scraped/emerald/2062870.jpg,emerald
-82.16504,-22.488316,19.093481,diamond_images/web_scraped/emerald/2034157.jpg,emerald
-68.44543,31.879704,-10.91725,diamond_images/web_scraped/emerald/2101856.jpg,emerald
-24.07305,38.280266,-46.59778,diamond_images/web_scraped/emerald/2106501.jpg,emerald
158.00337,-51.681866,-12.329198,diamond_images/web_scraped/emerald/2018699.jpg,emerald
-74.83561,19.429798,2.069747,diamond_images/web_scraped/emerald/2038778.jpg,emerald
120.39465,-82.069626,-62.663162,diamond_images/web_scraped/emerald/2088077.jpg,emerald
69.114105,35.97899,-72.44661,diamond_images/web_scraped/emerald/2116902.jpg,emerald
-65.80768,-19.162136,19.437235,diamond_images/web_scraped/emerald/2072786.jpg,emerald
-8.87881,-40.632008,22.934801,diamond_images/web_scraped/emerald/2065885.jpg,emerald
90.57192,25.372076,32.970615,diamond_images/web_scraped/emerald/2138279.jpg,emerald
-17.61017,26.153677,45.10957,diamond_images/web_scraped/emerald/221138-43.jpg,emerald
57.828205,36.185066,36.34471,diamond_images/web_scraped/emerald/220394-44.jpg,emerald
-23.96468,-65.16637,20.47706,diamond_images/web_scraped/emerald/2031739.jpg,emerald
-25.025656,-29.88672,-14.777067,diamond_images/web_scraped/emerald/220649-51.jpg,emerald
-38.008602,13.557491,-14.25209,diamond_images/web_scraped/emerald/223431-626.jpg,emerald
46.771233,45.349804,-41.320095,diamond_images/web_scraped/emerald/222171-619.jpg,emerald
-46.269012,-51.91382,3.1162522,diamond_images/web_scraped/emerald/2132956.jpg,emerald
88.71497,-17.717667,43.216484,diamond_images/web_scraped/emerald/220096-125.jpg,emerald
81.38246,36.32413,41.788795,diamond_images/web_scraped/emerald/221158-78.jpg,emerald
60.04089,-76.35691,-21.27285,diamond_images/web_scraped/emerald/223359-111.jpg,emerald
-36.159065,-15.604962,-53.5538,diamond_images/web_scraped/emerald/2099902.jpg,emerald
22.65632,-37.834072,-47.98014,diamond_images/web_scraped/emerald/2129846.jpg,emerald
75.95926,10.41609,-44.25165,diamond_images/web_scraped/emerald/220518-39.jpg,emerald
17.102057,107.853004,-19.402775,diamond_images/web_scraped/emerald/220621-459.jpg,emerald
9.412487,-27.479176,-41.162067,diamond_images/web_scraped/emerald/221110-14.jpg,emerald
82.31675,45.710907,-0.10377929,diamond_images/web_scraped/emerald/2098739.jpg,emerald
-47.435402,8.279151,-4.133697,diamond_images/web_scraped/emerald/2104026.jpg,emerald
97.426186,18.349104,-8.195182,diamond_images/web_scraped/emerald/220504-25.jpg,emerald
20.2705,63.31836,-44.35524,diamond_images/web_scraped/emerald/220183-203.jpg,emerald
43.72207,-16.388897,-15.03088,diamond_images/web_scraped/emerald/220319-175.jpg,emerald
-51.461254,18.774515,24.15799,diamond_images/web_scraped/emerald/2096912.jpg,emerald
40.21955,28.518557,-29.028053,diamond_images/web_scraped/emerald/214297-205.jpg,emerald
-6.7706246,12.029229,28.258362,diamond_images/web_scraped/emerald/2107961.jpg,emerald
-46.160294,-5.9562874,-53.977142,diamond_images/web_scraped/emerald/2034090.jpg,emerald
-34.605366,26.248734,36.78941,diamond_images/web_scraped/emerald/2129848.jpg,emerald
80.475555,-10.441855,-61.642384,diamond_images/web_scraped/emerald/220244-384.jpg,emerald
-68.38026,28.12457,-0.74830866,diamond_images/web_scraped/emerald/2126640.jpg,emerald
32.336494,30.87161,57.069817,diamond_images/web_scraped/emerald/2026650.jpg,emerald
-28.75003,-65.00141,23.344608,diamond_images/web_scraped/emerald/2088074.jpg,emerald
-60.67627,-26.760645,24.033773,diamond_images/web_scraped/emerald/2081611.jpg,emerald
53.27019,65.81588,48.949944,diamond_images/web_scraped/emerald/222137-258.jpg,emerald
35.459568,-80.17688,-26.713957,diamond_images/web_scraped/emerald/2044765.jpg,emerald
32.192017,64.34638,28.58576,diamond_images/web_scraped/emerald/2129856.jpg,emerald
-18.568747,7.735104,72.90245,diamond_images/web_scraped/emerald/221225-348.jpg,emerald
95.929146,-6.801566,10.364018,diamond_images/web_scraped/emerald/221187-69.jpg,emerald
-48.24152,-45.268536,24.795025,diamond_images/web_scraped/emerald/2089191.jpg,emerald
-21.328543,32.092785,-76.96103,diamond_images/web_scraped/emerald/2114566.jpg,emerald
35.284775,-67.859055,-96.746506,diamond_images/web_scraped/emerald/217057-15.jpg,emerald
-5.8291006,15.979219,26.000029,diamond_images/web_scraped/emerald/2137093.jpg,emerald
